,count,mean,std,min,25%,50%,75%,max
age,100.0,57.65,19.97947178804517,18.0,44.75,61.5,73.0,93.0
emergency_admission,100.0,0.12,0.3265986323710904,0.0,0.0,0.0,0.0,1.0
heart_rate_first,100.0,98.60295000073283,16.77705482601885,52.234635233306406,89.5492687821523,99.88354956530063,109.64483404719991,131.82520372967537
heart_rate_min,100.0,91.73391796770449,16.980866288678257,45.19815447769217,82.39787873140789,92.47150766725518,102.88883206478884,125.52795868949657
heart_rate_max,100.0,105.4719820337612,16.630689303821804,58.74179428974354,95.91734444300539,106.58118659706659,116.58674775844423,138.12244876985417
systolic_bp_first,100.0,124.07307809398895,18.396654488522017,77.50607299971963,114.15392513686578,125.96459370531667,136.24250740631246,162.50415892730723
systolic_bp_min,100.0,115.16844056854252,18.54647699890331,68.21918188142703,105.0781027197315,117.03638947532627,126.78502510147545,154.32686095038633
systolic_bp_max,100.0,132.97771561943534,18.29747892910868,86.79296411801224,123.93734384980661,134.78345114593515,144.94929265846503,170.68145690422813
diastolic_bp_first,100.0,69.67038376437648,11.866920845013755,33.22412388525761,62.52604429953307,68.70138368023616,77.85183131944389,103.88066891929239
diastolic_bp_min,100.0,63.65045073869949,11.968407819365249,29.139689049726606,56.906214217219706,63.233711250696636,71.96162437199433,100.12349654090282
diastolic_bp_max,100.0,75.69031679005347,11.84966414833729,37.30855872078862,68.06597011556579,74.78657725566131,83.82636992310671,107.63784129768196
mean_arterial_pressure_first,100.0,87.80461520758064,10.472281130936198,63.01042197791973,81.02445959234734,87.58778481905179,95.18491192543418,113.38392753088904
respiratory_rate_first,100.0,21.981855700182585,4.908945815794232,6.278098408762631,18.877835125124648,22.244428569474145,24.859258887740022,33.048964862936295
respiratory_rate_min,100.0,19.458134340949155,5.044928844121245,3.8538698852224553,16.40111012730435,19.929922529239107,22.823158726075576,31.333107156406705
respiratory_rate_max,100.0,24.50557705941602,4.961619242607906,8.702326932302807,21.094392705170364,24.741503202642445,27.67266606979974,35.68670757162846
spo2_first,100.0,93.71703858437714,2.728823998164953,88.52996642630302,91.47974413858412,93.68940625230337,95.62015063627746,100.0
spo2_min,100.0,92.16122956971404,2.9467535722169296,85.95670859451386,90.06201351876365,91.92800437312064,94.45260800560338,99.65159353340796
spo2_max,100.0,95.27284759904018,2.7843782784041156,90.507175643555,92.8625319940405,95.21298624467863,97.50449070210743,100.85254057152048
temperature_first,100.0,37.28283018624975,0.6720426680348713,35.44543355528389,36.86518225438539,37.284798353935784,37.666637922725826,39.8916612809963
temperature_min,100.0,36.32413886105101,0.856365392907216,33.61876086225273,35.87956105501357,36.29944288421731,36.89873893118415,38.77596935948283
temperature_max,100.0,38.24152151144847,1.015823538061464,35.89153569146122,37.53358025309718,38.23287897736821,38.749748850144364,41.19955949822268
comorbidity_count,100.0,2.97,1.3215769582455865,0.0,2.0,3.0,4.0,6.0
pao2_first,31.0,89.61006247540706,19.975829877823234,54.38862589809211,72.46562388562324,92.09802738676449,105.3307413989022,123.59747374259783
pco2_first,31.0,39.43608971302648,11.16453431063152,21.260937102335422,32.94329475606541,37.76240426813898,47.00847097995633,68.03137184437517
pf_ratio_first,61.0,256.4969305898808,102.96790343346683,109.16898371241223,173.7510387099966,240.6247284419217,313.64594426569465,624.1740447028226
ph_first,78.0,7.382312803622528,0.08078991712071122,7.211593017228918,7.324280512971918,7.385728427384274,7.440799929499969,7.584616500601427
bicarbonate_first,52.0,24.978528628816385,3.548990652243967,17.973921152216093,22.31174572604595,24.609208015974197,26.990805723362747,36.08375956564011
creatinine_first,64.0,1.0023498564334417,0.7076337351008322,0.45946891936861306,0.701563738317093,0.855406733679785,1.0005541050256554,5.803241825764904
lactate_first,12.0,1.9752746779962795,1.363397773607554,0.6351521688140049,1.1301497045664783,1.5886491154343785,2.2082901314601746,5.4876034227151
platelet_count_first,59.0,237.52782512001016,92.0633641678329,26.38130832364681,178.38672773049785,235.29100555223076,270.0783810297617,480.46609194716814
sodium_first,54.0,138.8181287143075,3.6654026693439357,127.92203889771585,136.27428525592836,139.12670522345906,141.11160880610572,146.08493689064116
bun_first,57.0,17.555825650880383,7.854972242828114,6.075340454928902,13.14131366555121,15.566037575043211,20.167121492258037,42.590775413042806
wbc_first,58.0,9.55819077314929,4.756370692372424,2.0713506060289064,6.02565140971538,9.128942869582131,11.658253730065447,25.354921148474354
hemoglobin_first,58.0,11.735141559243948,1.9634624697094876,6.64805961303078,10.361441630698371,12.11712024551652,13.124546700687524,16.235185809635283
hematocrit_first,86.0,35.90003839772035,6.7995538135774805,17.863384332068485,31.71508320578381,37.57400461380039,40.01007413513318,51.300706128061364
potassium_first,56.0,4.014752871474937,0.5091116019076172,2.709355361292925,3.7133687998448046,3.991955448434974,4.289456055827554,5.159005895070081
chloride_first,59.0,103.10958229830706,4.961078011610931,90.00296290978227,100.80802076909131,103.05007981575136,106.43765559581583,111.98099103016288
glucose_first,58.0,130.3815421598983,47.02089220891492,69.21240551311405,93.6009362988964,116.5556057133623,142.2109216585791,316.5876563115809
albumin_first,8.0,3.912413300732003,0.627164672072238,2.6779839885937307,3.55809469325612,4.101349588342851,4.406282613793202,4.510989970236045
bilirubin_first,94.0,0.8601911828358755,1.2502566473476062,-1.9246524797301188,-0.0011041652014509643,0.676071184694984,1.8828189272251201,3.340921560370371
inr_first,36.0,1.4649947141950208,0.8980355247632187,0.9075303933776652,1.0886106819740815,1.203815391193673,1.4171256760999817,5.983292447750782
gcs_motor_first,100.0,5.37,0.6138963160572694,4.0,5.0,5.0,6.0,6.0
gcs_verbal_first,100.0,4.43,0.6705191716841209,2.0,4.0,5.0,5.0,5.0
gcs_eyes_first,100.0,3.53,0.5587684871413403,2.0,3.0,4.0,4.0,4.0
gcs_total_first,100.0,13.33,1.3031042967010769,9.0,12.0,13.0,14.0,15.0
urine_output_24h,100.0,1229.4787384677902,587.3824372568093,347.9280961540067,808.5129404952395,1117.2245125491022,1428.1846028702278,3179.363080134522
surgery_indicator,100.0,0.33,0.47258156262526085,0.0,0.0,0.0,1.0,1.0
mechanical_ventilation_indicator,100.0,0.23,0.42295258468165076,0.0,0.0,0.0,0.0,1.0
vasopressor_indicator,100.0,0.15,0.3588702812826367,0.0,0.0,0.0,0.0,1.0
icu_admission_indicator,100.0,0.37,0.48523658709390977,0.0,0.0,0.0,1.0,1.0
procedure_count,100.0,2.09,1.5960494157054592,0.0,1.0,2.0,3.0,7.0
service_transfer_count,100.0,0.68,0.8150106896491752,0.0,0.0,0.0,1.0,3.0
hospital_los_days,100.0,4.155436804638859,2.350236951123064,0.4142414017820441,2.4403325652900882,3.5897466412876726,5.416411174992576,11.03673080898795
